#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2422 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:118 out:118 type:B dur:2 cpbdur:2 q:20.83 aq:13.63 tex:43993 mv:19392 misc:2751 imb:99 pmb:1907 smb:6154 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:20.82 aq:15.58 tex:20382 mv:13544 misc:3250 imb:46 pmb:1596 smb:6518 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:20.84 aq:15.29 tex:19391 mv:12576 misc:3337 imb:43 pmb:1562 smb:6555 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:20.93 aq:11.01 tex:193656 mv:22322 misc:1230 imb:489 pmb:2098 smb:5573 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:20.89 aq:14.36 tex:44920 mv:19331 misc:2629 imb:91 pmb:1965 smb:6104 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:20.87 aq:14.69 tex:19479 mv:12653 misc:3396 imb:48 pmb:1577 smb:6535 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:20.91 aq:15.99 tex:20369 mv:12907 misc:3236 imb:46 pmb:1558 smb:6556 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:20.99 aq:11.28 tex:188917 mv:21615 misc:1180 imb:459 pmb:2118 smb:5583 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:20.96 aq:14.51 tex:44440 mv:18981 misc:2675 imb:101 pmb:1901 smb:6158 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:20.94 aq:15.97 tex:21437 mv:13950 misc:3253 imb:54 pmb:1604 smb:6502 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:20.98 aq:15.84 tex:19675 mv:11913 misc:3300 imb:40 pmb:1528 smb:6592 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:21.07 aq:10.97 tex:184202 mv:21842 misc:1148 imb:466 pmb:2081 smb:5613 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:21.03 aq:14.48 tex:43815 mv:18458 misc:2719 imb:101 pmb:1860 smb:6199 d:- ref:0 ;
